document_id,variant_id,document_type,template,quality_condition,quality_group,file_format,extraction_method,cer,wer
RCT-0004,RCT-0004-digital_pdf,receipt,receipt_4,clean,clean,digital_pdf,embedded_text,1.0793650793650793,1.0
RCT-0006,RCT-0006-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,0.7608695652173914,0.65625
RCT-0010,RCT-0010-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,1.0218978102189782,1.0
RCT-0014,RCT-0014-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,0.6542056074766355,0.5833333333333334
RCT-0021,RCT-0021-digital_pdf,receipt,receipt_1,clean,clean,digital_pdf,embedded_text,1.0296296296296297,1.0
RCT-0022,RCT-0022-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,0.7650273224043715,0.65625
RCT-0025,RCT-0025-digital_pdf,receipt,receipt_1,clean,clean,digital_pdf,embedded_text,0.6405529953917051,0.5833333333333334
RCT-0028,RCT-0028-digital_pdf,receipt,receipt_4,clean,clean,digital_pdf,embedded_text,0.6355140186915887,0.5833333333333334
RCT-0030,RCT-0030-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,0.7777777777777778,0.65625
RCT-0002,RCT-0002-image_png,receipt,receipt_2,mild_shadow,degraded,png,ocr,1.1181102362204725,1.0476190476190477
RCT-0004,RCT-0004-image_png,receipt,receipt_4,light_noise,degraded,png,ocr,1.007936507936508,0.5714285714285714
RCT-0006,RCT-0006-image_png,receipt,receipt_2,lower_contrast,degraded,png,ocr,0.717391304347826,0.40625
RCT-0010,RCT-0010-image_png,receipt,receipt_2,slight_rotation,degraded,png,ocr,0.9562043795620438,0.5714285714285714
RCT-0014,RCT-0014-image_png,receipt,receipt_2,jpeg_compression,degraded,png,ocr,0.6121495327102804,0.3333333333333333
RCT-0021,RCT-0021-image_png,receipt,receipt_1,jpeg_compression,degraded,png,ocr,0.9629629629629629,0.5714285714285714
RCT-0022,RCT-0022-image_png,receipt,receipt_2,mild_blur,degraded,png,ocr,0.73224043715847,0.53125
RCT-0025,RCT-0025-image_png,receipt,receipt_1,light_noise,degraded,png,ocr,0.5990783410138248,0.3333333333333333
RCT-0028,RCT-0028-image_png,receipt,receipt_4,jpeg_compression,degraded,png,ocr,0.602803738317757,0.3611111111111111
RCT-0030,RCT-0030-image_png,receipt,receipt_2,mild_shadow,degraded,png,ocr,0.7888888888888889,0.6875
INV-0002,INV-0002-scanned_pdf,invoice,invoice_2,jpeg_compression,degraded,scanned_pdf,ocr,1.074468085106383,0.8125
INV-0004,INV-0004-scanned_pdf,invoice,invoice_4,mild_shadow,degraded,scanned_pdf,ocr,1.0569948186528497,0.7741935483870968
INV-0008,INV-0008-scanned_pdf,invoice,invoice_3,lower_contrast,degraded,scanned_pdf,ocr,1.0260416666666667,0.7419354838709677
INV-0011,INV-0011-scanned_pdf,invoice,invoice_1,mild_shadow,degraded,scanned_pdf,ocr,1.3081761006289307,1.0740740740740742
INV-0013,INV-0013-scanned_pdf,invoice,invoice_3,light_noise,degraded,scanned_pdf,ocr,1.3076923076923077,0.8518518518518519
INV-0015,INV-0015-scanned_pdf,invoice,invoice_5,lower_contrast,degraded,scanned_pdf,ocr,0.9626168224299065,0.6666666666666666
INV-0027,INV-0027-scanned_pdf,invoice,invoice_2,light_noise,degraded,scanned_pdf,ocr,1.1666666666666667,0.9230769230769231
INV-0031,INV-0031-scanned_pdf,invoice,invoice_1,mild_blur,degraded,scanned_pdf,ocr,1.0427807486631016,0.7096774193548387
INV-0037,INV-0037-scanned_pdf,invoice,invoice_2,jpeg_compression,degraded,scanned_pdf,ocr,1.2160493827160495,0.8888888888888888
INV-0038,INV-0038-scanned_pdf,invoice,invoice_3,mild_blur,degraded,scanned_pdf,ocr,1.3101265822784811,0.8846153846153846
INV-0040,INV-0040-scanned_pdf,invoice,invoice_5,slight_rotation,degraded,scanned_pdf,ocr,1.4113924050632911,0.9230769230769231
RCT-0002,RCT-0002-scanned_pdf,receipt,receipt_2,perspective,degraded,scanned_pdf,ocr,1.031496062992126,0.5714285714285714
RCT-0004,RCT-0004-scanned_pdf,receipt,receipt_4,jpeg_compression,degraded,scanned_pdf,ocr,1.0238095238095237,0.6190476190476191
RCT-0006,RCT-0006-scanned_pdf,receipt,receipt_2,mild_shadow,degraded,scanned_pdf,ocr,0.8097826086956522,0.71875
RCT-0010,RCT-0010-scanned_pdf,receipt,receipt_2,lower_contrast,degraded,scanned_pdf,ocr,1.0,0.7142857142857143
RCT-0014,RCT-0014-scanned_pdf,receipt,receipt_2,slight_rotation,degraded,scanned_pdf,ocr,0.6121495327102804,0.3333333333333333
RCT-0021,RCT-0021-scanned_pdf,receipt,receipt_1,slight_rotation,degraded,scanned_pdf,ocr,0.9777777777777777,0.6666666666666666
RCT-0022,RCT-0022-scanned_pdf,receipt,receipt_2,light_noise,degraded,scanned_pdf,ocr,0.7486338797814208,0.65625
RCT-0025,RCT-0025-scanned_pdf,receipt,receipt_1,jpeg_compression,degraded,scanned_pdf,ocr,0.6082949308755761,0.3888888888888889
RCT-0028,RCT-0028-scanned_pdf,receipt,receipt_4,slight_rotation,degraded,scanned_pdf,ocr,0.6121495327102804,0.4444444444444444
RCT-0030,RCT-0030-scanned_pdf,receipt,receipt_2,perspective,degraded,scanned_pdf,ocr,0.7388888888888889,0.46875
