template,variant_count,processing_success_rate,critical_field_accuracy,macro_field_f1,line_item_f1,ocr_cer,ocr_wer,average_confidence,average_processing_time,validation_warning_frequency
invoice_1,8,1.0,0.925,0.75,0.9321428571428572,1.1987185954999493,0.9511648745519714,0.9344125,4.34815,0.625
invoice_2,12,1.0,1.0,0.7803030303030303,0.8714285714285714,1.175653479805371,0.9615384615384617,0.9328500000000002,5.069624999999999,0.8333333333333334
invoice_3,12,1.0,0.9666666666666667,0.7575757575757577,0.6749999999999999,1.259729068619496,0.9213843703091015,0.9220166666666666,4.2702583333333335,0.8333333333333334
invoice_4,4,1.0,1.0,0.75,0.75,1.08419689119171,0.879032258064516,0.9265,4.4348,1.0
invoice_5,8,1.0,0.95,0.7727272727272727,0.9472222222222222,1.1781985685555423,0.9006410256410257,0.93055,4.5870625,0.75
receipt_1,8,1.0,1.0,0.875,0.8611111111111112,0.8066564260112647,0.5992063492063492,0.91525,5.016237500000001,0.75
receipt_2,24,1.0,0.9583333333333334,0.890625,0.8055555555555557,0.8244868249411361,0.6175595238095237,0.9170541666666666,4.258204166666666,0.25
receipt_4,8,1.0,1.0,0.875,0.875,0.8293001780151312,0.6140873015873016,0.9168499999999999,4.635025,0.125
