field,expected_count,predicted_count,tolerance_accuracy,exact_normalized_accuracy,mean_absolute_error,median_absolute_error,maximum_absolute_error,missing_count,tolerance
line_total,233,233,0.9570815450643777,0.9570815450643777,4.3222746781115875,0.0,148.2,0,0.05
quantity,233,233,0.9613733905579399,0.9613733905579399,0.055793991416309016,0.0,2.0,0,0.05
subtotal,84,77,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,7,0.05
tax_amount,84,79,0.9404761904761905,0.9404761904761905,0.0,0.0,0.0,5,0.05
total_amount,84,84,1.0,1.0,0.0,0.0,0.0,0,0.05
unit_price,233,233,0.9570815450643777,0.9570815450643777,1.0490128755364807,0.0,44.669999999999995,0,0.05
