quality_condition,variant_count,processing_success_rate,critical_field_accuracy,macro_field_f1,line_item_f1,ocr_cer,ocr_wer,average_confidence,average_processing_time,validation_warning_frequency
clean,21,1.0,1.0,1.0,0.9153439153439155,1.0391649547910748,0.961616004962779,0.911552380952381,0.06321428571428572,0.47619047619047616
jpeg_compression,10,1.0,1.0,0.7840909090909092,0.9079365079365079,0.9160515232148887,0.6000953907203908,0.9259299999999999,6.982850000000001,0.4
light_noise,10,1.0,1.0,0.7590909090909091,0.9488888888888889,1.016590829936836,0.7013920070371683,0.9356899999999999,6.965440000000001,0.7
lower_contrast,9,1.0,0.9777777777777779,0.7323232323232324,0.8111111111111111,1.0335374952802572,0.7437446936774894,0.9273000000000001,5.332611111111111,0.6666666666666666
mild_blur,8,1.0,1.0,0.7144886363636364,0.898611111111111,1.0708402512014579,0.7519278669732299,0.932625,5.5891874999999995,0.75
mild_shadow,9,1.0,0.8666666666666667,0.7954545454545454,0.5209876543209877,1.0216942304673902,0.8926242390624112,0.9091333333333333,5.622988888888888,0.7777777777777778
perspective,8,1.0,1.0,0.8196022727272727,0.85,0.9484022954648296,0.6113602039761313,0.9288875,5.9492125,0.625
slight_rotation,9,1.0,0.8888888888888888,0.7285353535353535,0.6717813051146384,1.0724598446576292,0.7345547721891807,0.9301555555555555,5.4431666666666665,0.3333333333333333
